Start,Meter, kwh
"2/25/2024 12:00:00 AM","Meter #80354166g","0.00"
"2/25/2024 1:00:00 AM","Meter #80354166","2.80"
"2/25/2024 1:00:00 AM","Meter #80354166g","0.00"
"2/25/2024 2:00:00 AM","Meter #80354166","1.92"
"2/25/2024 2:00:00 AM","Meter #80354166g","0.00"
"2/25/2024 3:00:00 AM","Meter #80354166","1.77"
"2/25/2024 3:00:00 AM","Meter #80354166g","0.00"
"2/25/2024 4:00:00 AM","Meter #80354166","0.46"
"2/25/2024 4:00:00 AM","Meter #80354166g","0.00"
"2/25/2024 5:00:00 AM","Meter #80354166","1.65"
"2/25/2024 5:00:00 AM","Meter #80354166g","0.00"
"2/25/2024 6:00:00 AM","Meter #80354166","1.83"
"2/25/2024 6:00:00 AM","Meter #80354166g","0.00"
"2/25/2024 7:00:00 AM","Meter #80354166","1.28"
"2/25/2024 7:00:00 AM","Meter #80354166g","0.00"
"2/25/2024 8:00:00 AM","Meter #80354166","1.02"
"2/25/2024 8:00:00 AM","Meter #80354166g","-0.00"
"2/25/2024 9:00:00 AM","Meter #80354166","0.70"
"2/25/2024 9:00:00 AM","Meter #80354166g","-0.02"
"2/25/2024 10:00:00 AM","Meter #80354166","0.04"
"2/25/2024 10:00:00 AM","Meter #80354166g","-1.24"
"2/25/2024 11:00:00 AM","Meter #80354166","0.00"
"2/25/2024 11:00:00 AM","Meter #80354166g","-2.71"
"2/25/2024 12:00:00 PM","Meter #80354166","0.00"
"2/25/2024 12:00:00 PM","Meter #80354166g","-2.35"
"2/25/2024 1:00:00 PM","Meter #80354166","0.00"
"2/25/2024 1:00:00 PM","Meter #80354166g","-1.08"
"2/25/2024 2:00:00 PM","Meter #80354166","0.61"
"2/25/2024 2:00:00 PM","Meter #80354166g","-0.32"
"2/25/2024 3:00:00 PM","Meter #80354166","0.29"
"2/25/2024 3:00:00 PM","Meter #80354166g","-0.01"
"2/25/2024 4:00:00 PM","Meter #80354166","0.52"
"2/25/2024 4:00:00 PM","Meter #80354166g","0.00"
"2/25/2024 5:00:00 PM","Meter #80354166","0.69"
"2/25/2024 5:00:00 PM","Meter #80354166g","0.00"
"2/25/2024 6:00:00 PM","Meter #80354166","1.03"
"2/25/2024 6:00:00 PM","Meter #80354166g","0.00"
"2/25/2024 7:00:00 PM","Meter #80354166","1.94"
"2/25/2024 7:00:00 PM","Meter #80354166g","0.00"
"2/25/2024 8:00:00 PM","Meter #80354166","2.22"
"2/25/2024 8:00:00 PM","Meter #80354166g","0.00"
"2/25/2024 9:00:00 PM","Meter #80354166","1.83"
"2/25/2024 9:00:00 PM","Meter #80354166g","0.00"
"2/25/2024 10:00:00 PM","Meter #80354166","2.16"
"2/25/2024 10:00:00 PM","Meter #80354166g","0.00"
"2/25/2024 11:00:00 PM","Meter #80354166","3.04"
"2/25/2024 11:00:00 PM","Meter #80354166g","0.00"
"2/26/2024 12:00:00 AM","Meter #80354166","2.81"
"2/26/2024 12:00:00 AM","Meter #80354166g","0.00"
"2/26/2024 1:00:00 AM","Meter #80354166","2.28"
"2/26/2024 1:00:00 AM","Meter #80354166g","0.00"
"2/26/2024 2:00:00 AM","Meter #80354166","0.63"
"2/26/2024 2:00:00 AM","Meter #80354166g","0.00"
"2/26/2024 3:00:00 AM","Meter #80354166","0.49"
"2/26/2024 3:00:00 AM","Meter #80354166g","0.00"
"2/26/2024 4:00:00 AM","Meter #80354166","0.51"
"2/26/2024 4:00:00 AM","Meter #80354166g","0.00"
"2/26/2024 5:00:00 AM","Meter #80354166","0.54"
"2/26/2024 5:00:00 AM","Meter #80354166g","0.00"
"2/26/2024 6:00:00 AM","Meter #80354166","0.43"
"2/26/2024 6:00:00 AM","Meter #80354166g","0.00"
"2/26/2024 7:00:00 AM","Meter #80354166","0.10"
"2/26/2024 7:00:00 AM","Meter #80354166g","-0.14"
"2/26/2024 8:00:00 AM","Meter #80354166","0.00"
"2/26/2024 8:00:00 AM","Meter #80354166g","-0.36"
"2/26/2024 9:00:00 AM","Meter #80354166","0.09"
"2/26/2024 9:00:00 AM","Meter #80354166g","-0.35"
"2/26/2024 10:00:00 AM","Meter #80354166","0.58"
"2/26/2024 10:00:00 AM","Meter #80354166g","-0.00"
"2/26/2024 11:00:00 AM","Meter #80354166","0.38"
"2/26/2024 11:00:00 AM","Meter #80354166g","-0.64"
"2/26/2024 12:00:00 PM","Meter #80354166","0.10"
"2/26/2024 12:00:00 PM","Meter #80354166g","-1.19"
"2/26/2024 1:00:00 PM","Meter #80354166","3.72"
"2/26/2024 1:00:00 PM","Meter #80354166g","0.00"
"2/26/2024 2:00:00 PM","Meter #80354166","2.41"
"2/26/2024 2:00:00 PM","Meter #80354166g","0.00"
"2/26/2024 3:00:00 PM","Meter #80354166","2.23"
"2/26/2024 3:00:00 PM","Meter #80354166g","0.00"
"2/26/2024 4:00:00 PM","Meter #80354166","1.15"
"2/26/2024 4:00:00 PM","Meter #80354166g","0.00"
"2/26/2024 5:00:00 PM","Meter #80354166","0.44"
"2/26/2024 5:00:00 PM","Meter #80354166g","0.00"
"2/26/2024 6:00:00 PM","Meter #80354166","0.46"
"2/26/2024 6:00:00 PM","Meter #80354166g","0.00"
"2/26/2024 7:00:00 PM","Meter #80354166","1.10"
"2/26/2024 7:00:00 PM","Meter #80354166g","0.00"
"2/26/2024 8:00:00 PM","Meter #80354166","5.34"
"2/26/2024 8:00:00 PM","Meter #80354166g","0.00"
"2/26/2024 9:00:00 PM","Meter #80354166","6.26"
"2/26/2024 9:00:00 PM","Meter #80354166g","0.00"
"2/26/2024 10:00:00 PM","Meter #80354166","4.50"
"2/26/2024 10:00:00 PM","Meter #80354166g","0.00"
"2/26/2024 11:00:00 PM","Meter #80354166","2.13"
"2/26/2024 11:00:00 PM","Meter #80354166g","0.00"
"2/27/2024 12:00:00 AM","Meter #80354166","2.08"
"2/27/2024 12:00:00 AM","Meter #80354166g","0.00"
"2/27/2024 1:00:00 AM","Meter #80354166","3.45"
"2/27/2024 1:00:00 AM","Meter #80354166g","0.00"
"2/27/2024 2:00:00 AM","Meter #80354166","3.49"
"2/27/2024 2:00:00 AM","Meter #80354166g","0.00"
"2/27/2024 3:00:00 AM","Meter #80354166","1.43"
"2/27/2024 3:00:00 AM","Meter #80354166g","0.00"
"2/27/2024 4:00:00 AM","Meter #80354166","0.51"
"2/27/2024 4:00:00 AM","Meter #80354166g","0.00"
"2/27/2024 5:00:00 AM","Meter #80354166","1.76"
"2/27/2024 5:00:00 AM","Meter #80354166g","0.00"
"2/27/2024 6:00:00 AM","Meter #80354166","0.68"
"2/27/2024 6:00:00 AM","Meter #80354166g","0.00"
"2/27/2024 7:00:00 AM","Meter #80354166","0.99"
"2/27/2024 7:00:00 AM","Meter #80354166g","0.00"
"2/27/2024 8:00:00 AM","Meter #80354166","0.79"
"2/27/2024 8:00:00 AM","Meter #80354166g","-0.07"
"2/27/2024 9:00:00 AM","Meter #80354166","0.07"
"2/27/2024 9:00:00 AM","Meter #80354166g","-0.63"
"2/27/2024 10:00:00 AM","Meter #80354166","0.22"
"2/27/2024 10:00:00 AM","Meter #80354166g","-0.79"
"2/27/2024 11:00:00 AM","Meter #80354166","0.00"
"2/27/2024 11:00:00 AM","Meter #80354166g","-0.99"
"2/27/2024 12:00:00 PM","Meter #80354166","0.00"
"2/27/2024 12:00:00 PM","Meter #80354166g","-1.93"
"2/27/2024 1:00:00 PM","Meter #80354166","0.89"
"2/27/2024 1:00:00 PM","Meter #80354166g","-0.67"
"2/27/2024 2:00:00 PM","Meter #80354166","3.57"
"2/27/2024 2:00:00 PM","Meter #80354166g","-0.11"
"2/27/2024 3:00:00 PM","Meter #80354166","0.02"
"2/27/2024 3:00:00 PM","Meter #80354166g","-0.19"
"2/27/2024 4:00:00 PM","Meter #80354166","0.32"
"2/27/2024 4:00:00 PM","Meter #80354166g","-0.02"
"2/27/2024 5:00:00 PM","Meter #80354166","0.56"
"2/27/2024 5:00:00 PM","Meter #80354166g","0.00"
"2/27/2024 6:00:00 PM","Meter #80354166","0.58"
"2/27/2024 6:00:00 PM","Meter #80354166g","0.00"
"2/27/2024 7:00:00 PM","Meter #80354166","1.53"
"2/27/2024 7:00:00 PM","Meter #80354166g","0.00"
"2/27/2024 8:00:00 PM","Meter #80354166","2.84"
"2/27/2024 8:00:00 PM","Meter #80354166g","0.00"
"2/27/2024 9:00:00 PM","Meter #80354166","3.51"
"2/27/2024 9:00:00 PM","Meter #80354166g","0.00"
"2/27/2024 10:00:00 PM","Meter #80354166","3.99"
"2/27/2024 10:00:00 PM","Meter #80354166g","0.00"
"2/27/2024 11:00:00 PM","Meter #80354166","1.89"
"2/27/2024 11:00:00 PM","Meter #80354166g","0.00"
"2/28/2024 12:00:00 AM","Meter #80354166","2.18"
"2/28/2024 12:00:00 AM","Meter #80354166g","0.00"
"2/28/2024 1:00:00 AM","Meter #80354166","3.05"
"2/28/2024 1:00:00 AM","Meter #80354166g","0.00"
"2/28/2024 2:00:00 AM","Meter #80354166","2.68"
"2/28/2024 2:00:00 AM","Meter #80354166g","0.00"
"2/28/2024 3:00:00 AM","Meter #80354166","1.97"
"2/28/2024 3:00:00 AM","Meter #80354166g","0.00"
"2/28/2024 4:00:00 AM","Meter #80354166","0.58"
"2/28/2024 4:00:00 AM","Meter #80354166g","0.00"
"2/28/2024 5:00:00 AM","Meter #80354166","0.79"
"2/28/2024 5:00:00 AM","Meter #80354166g","0.00"
"2/28/2024 6:00:00 AM","Meter #80354166","1.45"
"2/28/2024 6:00:00 AM","Meter #80354166g","0.00"
"2/28/2024 7:00:00 AM","Meter #80354166","0.35"
"2/28/2024 7:00:00 AM","Meter #80354166g","0.00"
"2/28/2024 8:00:00 AM","Meter #80354166","1.34"
"2/28/2024 8:00:00 AM","Meter #80354166g","0.00"
"2/28/2024 9:00:00 AM","Meter #80354166","0.30"
"2/28/2024 9:00:00 AM","Meter #80354166g","0.00"
"2/28/2024 10:00:00 AM","Meter #80354166","0.95"
"2/28/2024 10:00:00 AM","Meter #80354166g","0.00"
"2/28/2024 11:00:00 AM","Meter #80354166","0.63"
"2/28/2024 11:00:00 AM","Meter #80354166g","-0.15"
"2/28/2024 12:00:00 PM","Meter #80354166","0.01"
"2/28/2024 12:00:00 PM","Meter #80354166g","-0.41"
"2/28/2024 1:00:00 PM","Meter #80354166","0.00"
"2/28/2024 1:00:00 PM","Meter #80354166g","-0.45"
"2/28/2024 2:00:00 PM","Meter #80354166","0.33"
"2/28/2024 2:00:00 PM","Meter #80354166g","-0.15"
"2/28/2024 3:00:00 PM","Meter #80354166","1.19"
"2/28/2024 3:00:00 PM","Meter #80354166g","-0.04"
"2/28/2024 4:00:00 PM","Meter #80354166","0.66"
"2/28/2024 4:00:00 PM","Meter #80354166g","0.00"
"2/28/2024 5:00:00 PM","Meter #80354166","2.74"
"2/28/2024 5:00:00 PM","Meter #80354166g","0.00"
"2/28/2024 6:00:00 PM","Meter #80354166","2.19"
"2/28/2024 6:00:00 PM","Meter #80354166g","0.00"
"2/28/2024 7:00:00 PM","Meter #80354166","1.53"
"2/28/2024 7:00:00 PM","Meter #80354166g","0.00"
"2/28/2024 8:00:00 PM","Meter #80354166","2.08"
"2/28/2024 8:00:00 PM","Meter #80354166g","0.00"
"2/28/2024 9:00:00 PM","Meter #80354166","1.52"
"2/28/2024 9:00:00 PM","Meter #80354166g","0.00"
"2/28/2024 10:00:00 PM","Meter #80354166","2.28"
"2/28/2024 10:00:00 PM","Meter #80354166g","0.00"
"2/28/2024 11:00:00 PM","Meter #80354166","1.74"
"2/28/2024 11:00:00 PM","Meter #80354166g","0.00"
"2/29/2024 12:00:00 AM","Meter #80354166","1.43"
"2/29/2024 12:00:00 AM","Meter #80354166g","0.00"
"2/29/2024 1:00:00 AM","Meter #80354166","1.37"
"2/29/2024 1:00:00 AM","Meter #80354166g","0.00"
"2/29/2024 2:00:00 AM","Meter #80354166","0.77"
"2/29/2024 2:00:00 AM","Meter #80354166g","0.00"
"2/29/2024 3:00:00 AM","Meter #80354166","0.36"
"2/29/2024 3:00:00 AM","Meter #80354166g","0.00"
"2/29/2024 4:00:00 AM","Meter #80354166","0.40"
"2/29/2024 4:00:00 AM","Meter #80354166g","0.00"
"2/29/2024 5:00:00 AM","Meter #80354166","0.49"
"2/29/2024 5:00:00 AM","Meter #80354166g","0.00"
"2/29/2024 6:00:00 AM","Meter #80354166","0.45"
"2/29/2024 6:00:00 AM","Meter #80354166g","0.00"
"2/29/2024 7:00:00 AM","Meter #80354166","0.26"
"2/29/2024 7:00:00 AM","Meter #80354166g","-0.00"
"2/29/2024 8:00:00 AM","Meter #80354166","0.05"
"2/29/2024 8:00:00 AM","Meter #80354166g","-0.10"
"2/29/2024 9:00:00 AM","Meter #80354166","0.00"
"2/29/2024 9:00:00 AM","Meter #80354166g","-0.96"
"2/29/2024 10:00:00 AM","Meter #80354166","0.00"
"2/29/2024 10:00:00 AM","Meter #80354166g","-3.20"
"2/29/2024 11:00:00 AM","Meter #80354166","0.00"
"2/29/2024 11:00:00 AM","Meter #80354166g","-3.05"
"2/29/2024 12:00:00 PM","Meter #80354166","0.00"
"2/29/2024 12:00:00 PM","Meter #80354166g","-2.67"
"2/29/2024 1:00:00 PM","Meter #80354166","0.07"
"2/29/2024 1:00:00 PM","Meter #80354166g","-0.34"
"2/29/2024 2:00:00 PM","Meter #80354166","1.10"
"2/29/2024 2:00:00 PM","Meter #80354166g","-0.00"
"2/29/2024 3:00:00 PM","Meter #80354166","0.94"
"2/29/2024 3:00:00 PM","Meter #80354166g","0.00"
"2/29/2024 4:00:00 PM","Meter #80354166","1.77"
"2/29/2024 4:00:00 PM","Meter #80354166g","0.00"
"2/29/2024 5:00:00 PM","Meter #80354166","1.56"
"2/29/2024 5:00:00 PM","Meter #80354166g","0.00"
"2/29/2024 6:00:00 PM","Meter #80354166","1.04"
"2/29/2024 6:00:00 PM","Meter #80354166g","0.00"
"2/29/2024 7:00:00 PM","Meter #80354166","0.73"
"2/29/2024 7:00:00 PM","Meter #80354166g","0.00"
"2/29/2024 8:00:00 PM","Meter #80354166","2.07"
"2/29/2024 8:00:00 PM","Meter #80354166g","0.00"
"2/29/2024 9:00:00 PM","Meter #80354166","3.06"
"2/29/2024 9:00:00 PM","Meter #80354166g","0.00"
"2/29/2024 10:00:00 PM","Meter #80354166","3.27"
"2/29/2024 10:00:00 PM","Meter #80354166g","0.00"
"2/29/2024 11:00:00 PM","Meter #80354166","1.02"
"2/29/2024 11:00:00 PM","Meter #80354166g","0.00"
"3/1/2024 12:00:00 AM","Meter #80354166","1.38"
"3/1/2024 12:00:00 AM","Meter #80354166g","0.00"
"3/1/2024 1:00:00 AM","Meter #80354166","1.85"
"3/1/2024 1:00:00 AM","Meter #80354166g","0.00"
"3/1/2024 2:00:00 AM","Meter #80354166","1.51"
"3/1/2024 2:00:00 AM","Meter #80354166g","0.00"
"3/1/2024 3:00:00 AM","Meter #80354166","0.54"
"3/1/2024 3:00:00 AM","Meter #80354166g","0.00"
"3/1/2024 4:00:00 AM","Meter #80354166","0.47"
"3/1/2024 4:00:00 AM","Meter #80354166g","0.00"
"3/1/2024 5:00:00 AM","Meter #80354166","0.37"
"3/1/2024 5:00:00 AM","Meter #80354166g","0.00"
"3/1/2024 6:00:00 AM","Meter #80354166","0.34"
"3/1/2024 6:00:00 AM","Meter #80354166g","0.00"
"3/1/2024 7:00:00 AM","Meter #80354166","0.24"
"3/1/2024 7:00:00 AM","Meter #80354166g","0.00"
"3/1/2024 8:00:00 AM","Meter #80354166","0.22"
"3/1/2024 8:00:00 AM","Meter #80354166g","-0.02"
"3/1/2024 9:00:00 AM","Meter #80354166","0.07"
"3/1/2024 9:00:00 AM","Meter #80354166g","-0.37"
"3/1/2024 10:00:00 AM","Meter #80354166","0.00"
"3/1/2024 10:00:00 AM","Meter #80354166g","-2.68"
"3/1/2024 11:00:00 AM","Meter #80354166","0.00"
"3/1/2024 11:00:00 AM","Meter #80354166g","-2.27"
"3/1/2024 12:00:00 PM","Meter #80354166","0.00"
"3/1/2024 12:00:00 PM","Meter #80354166g","-2.57"
"3/1/2024 1:00:00 PM","Meter #80354166","0.00"
"3/1/2024 1:00:00 PM","Meter #80354166g","-0.92"
"3/1/2024 2:00:00 PM","Meter #80354166","0.00"
"3/1/2024 2:00:00 PM","Meter #80354166g","-0.46"
"3/1/2024 3:00:00 PM","Meter #80354166","0.10"
"3/1/2024 3:00:00 PM","Meter #80354166g","-0.08"
"3/1/2024 4:00:00 PM","Meter #80354166","0.74"
"3/1/2024 4:00:00 PM","Meter #80354166g","-0.00"
"3/1/2024 5:00:00 PM","Meter #80354166","6.25"
"3/1/2024 5:00:00 PM","Meter #80354166g","0.00"
"3/1/2024 6:00:00 PM","Meter #80354166","2.77"
"3/1/2024 6:00:00 PM","Meter #80354166g","0.00"
"3/1/2024 7:00:00 PM","Meter #80354166","5.99"
"3/1/2024 7:00:00 PM","Meter #80354166g","0.00"
"3/1/2024 8:00:00 PM","Meter #80354166","3.90"
"3/1/2024 8:00:00 PM","Meter #80354166g","0.00"
"3/1/2024 9:00:00 PM","Meter #80354166","5.08"
"3/1/2024 9:00:00 PM","Meter #80354166g","0.00"
"3/1/2024 10:00:00 PM","Meter #80354166","3.36"
"3/1/2024 10:00:00 PM","Meter #80354166g","0.00"
"3/1/2024 11:00:00 PM","Meter #80354166","3.49"
"3/1/2024 11:00:00 PM","Meter #80354166g","0.00"
"3/2/2024 12:00:00 AM","Meter #80354166","2.09"
"3/2/2024 12:00:00 AM","Meter #80354166g","0.00"
"3/2/2024 1:00:00 AM","Meter #80354166","0.73"
"3/2/2024 1:00:00 AM","Meter #80354166g","0.00"
"3/2/2024 2:00:00 AM","Meter #80354166","0.52"
"3/2/2024 2:00:00 AM","Meter #80354166g","0.00"
"3/2/2024 3:00:00 AM","Meter #80354166","0.43"
"3/2/2024 3:00:00 AM","Meter #80354166g","0.00"
"3/2/2024 4:00:00 AM","Meter #80354166","0.29"
"3/2/2024 4:00:00 AM","Meter #80354166g","0.00"
"3/2/2024 5:00:00 AM","Meter #80354166","1.08"
"3/2/2024 5:00:00 AM","Meter #80354166g","0.00"
"3/2/2024 6:00:00 AM","Meter #80354166","0.94"
"3/2/2024 6:00:00 AM","Meter #80354166g","0.00"
"3/2/2024 7:00:00 AM","Meter #80354166","1.24"
"3/2/2024 7:00:00 AM","Meter #80354166g","0.00"
"3/2/2024 8:00:00 AM","Meter #80354166","1.12"
"3/2/2024 8:00:00 AM","Meter #80354166g","0.00"
"3/2/2024 9:00:00 AM","Meter #80354166","0.88"
"3/2/2024 9:00:00 AM","Meter #80354166g","0.00"
"3/2/2024 10:00:00 AM","Meter #80354166","0.17"
"3/2/2024 10:00:00 AM","Meter #80354166g","-0.15"
"3/2/2024 11:00:00 AM","Meter #80354166","0.12"
"3/2/2024 11:00:00 AM","Meter #80354166g","-0.07"
"3/2/2024 12:00:00 PM","Meter #80354166","0.26"
"3/2/2024 12:00:00 PM","Meter #80354166g","-0.01"
"3/2/2024 1:00:00 PM","Meter #80354166","0.40"
"3/2/2024 1:00:00 PM","Meter #80354166g","0.00"
"3/2/2024 2:00:00 PM","Meter #80354166","1.66"
"3/2/2024 2:00:00 PM","Meter #80354166g","0.00"
"3/2/2024 3:00:00 PM","Meter #80354166","0.53"
"3/2/2024 3:00:00 PM","Meter #80354166g","0.00"
"3/2/2024 4:00:00 PM","Meter #80354166","2.76"
"3/2/2024 4:00:00 PM","Meter #80354166g","0.00"
"3/2/2024 5:00:00 PM","Meter #80354166","2.01"
"3/2/2024 5:00:00 PM","Meter #80354166g","0.00"
"3/2/2024 6:00:00 PM","Meter #80354166","1.96"
"3/2/2024 6:00:00 PM","Meter #80354166g","0.00"
"3/2/2024 7:00:00 PM","Meter #80354166","2.05"
"3/2/2024 7:00:00 PM","Meter #80354166g","0.00"
"3/2/2024 8:00:00 PM","Meter #80354166","3.64"
"3/2/2024 8:00:00 PM","Meter #80354166g","0.00"
"3/2/2024 9:00:00 PM","Meter #80354166","4.50"
"3/2/2024 9:00:00 PM","Meter #80354166g","0.00"
"3/2/2024 10:00:00 PM","Meter #80354166","3.69"
"3/2/2024 10:00:00 PM","Meter #80354166g","0.00"
"3/2/2024 11:00:00 PM","Meter #80354166","3.01"
"3/2/2024 11:00:00 PM","Meter #80354166g","0.00"
"3/3/2024 12:00:00 AM","Meter #80354166","1.30"
"3/3/2024 12:00:00 AM","Meter #80354166g","0.00"
"3/3/2024 1:00:00 AM","Meter #80354166","1.85"
"3/3/2024 1:00:00 AM","Meter #80354166g","0.00"
"3/3/2024 2:00:00 AM","Meter #80354166","0.43"
"3/3/2024 2:00:00 AM","Meter #80354166g","0.00"
"3/3/2024 3:00:00 AM","Meter #80354166","0.30"
"3/3/2024 3:00:00 AM","Meter #80354166g","0.00"
"3/3/2024 4:00:00 AM","Meter #80354166","0.34"
"3/3/2024 4:00:00 AM","Meter #80354166g","0.00"
"3/3/2024 5:00:00 AM","Meter #80354166","0.43"
"3/3/2024 5:00:00 AM","Meter #80354166g","0.00"
"3/3/2024 6:00:00 AM","Meter #80354166","0.24"
"3/3/2024 6:00:00 AM","Meter #80354166g","0.00"
"3/3/2024 7:00:00 AM","Meter #80354166","0.12"
"3/3/2024 7:00:00 AM","Meter #80354166g","-0.03"
"3/3/2024 8:00:00 AM","Meter #80354166","0.00"
"3/3/2024 8:00:00 AM","Meter #80354166g","-0.61"
"3/3/2024 9:00:00 AM","Meter #80354166","0.00"
"3/3/2024 9:00:00 AM","Meter #80354166g","-1.44"
"3/3/2024 10:00:00 AM","Meter #80354166","0.00"
"3/3/2024 10:00:00 AM","Meter #80354166g","-2.94"
"3/3/2024 11:00:00 AM","Meter #80354166","0.00"
"3/3/2024 11:00:00 AM","Meter #80354166g","-3.12"
